file,line_no,snippet,rule_id,rule_desc,severity,suggestion
D:\Samarth\DSCE\Semester-7\DSP\lab4\vuln_scanner.py,124,"description=""Use of insecure randomness (random.random() for security-sensitive use)"",",R012,Use of insecure randomness (random.random() for security-sensitive use),MEDIUM,Use secrets module or os.urandom for cryptographic randomness.
D:\Samarth\DSCE\Semester-7\DSP\lab4\vuln_scanner.py,105,"pattern=r""http://[^\s'\""<>]+"",",R009,Use of HTTP (not HTTPS) in URLs,MEDIUM,Prefer HTTPS URLs; avoid sending secrets over HTTP.
D:\Samarth\DSCE\Semester-7\DSP\lab4\vuln_scanner.py,91,"pattern=r""\b(md5|sha1|unhexlify\(|hashlib\.(md5|sha1))\b"",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\vuln_scanner.py,91,"pattern=r""\b(md5|sha1|unhexlify\(|hashlib\.(md5|sha1))\b"",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\vuln_scanner.py,91,"pattern=r""\b(md5|sha1|unhexlify\(|hashlib\.(md5|sha1))\b"",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\vuln_scanner.py,91,"pattern=r""\b(md5|sha1|unhexlify\(|hashlib\.(md5|sha1))\b"",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\vuln_scanner.py,89,"description=""Use of weak hashing algorithms (MD5/SHA1)"",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\vuln_scanner.py,89,"description=""Use of weak hashing algorithms (MD5/SHA1)"",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,72,"""rule_desc"": ""Use of weak hashing algorithms (MD5/SHA1)"",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
D:\Samarth\DSCE\Semester-7\DSP\lab4\report.json,72,"""rule_desc"": ""Use of weak hashing algorithms (MD5/SHA1)"",",R007,Use of weak hashing algorithms (MD5/SHA1),MEDIUM,Use SHA-256 or stronger & use HMAC when appropriate.
